beta=0.30
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.290977,0.003873,0.290531,0.003479,0.261331,0.003962,-0.068825,0.000372  
2,0.084424,0.004205,0.081241,0.010307,0.065198,0.004689,0.007650,0.011169  
3,0.025064,0.004182,0.023150,0.004675,0.015954,0.006594,-0.001549,0.009319  
4,0.007623,0.003919,0.005588,0.005594,0.003833,0.003775,-0.001063,0.008680  
5,0.002672,0.003746,0.002209,0.003553,0.001032,0.003715,0.001004,0.008994  
6,0.000426,0.004140,0.000992,0.005653,-0.000249,0.005967,-0.000157,0.008536  
7,0.000282,0.004128,0.000402,0.004065,0.000014,0.003863,-0.000692,0.008149  
8,0.000306,0.003915,0.000774,0.005643,0.000103,0.003801,0.000521,0.008313  
9,0.000431,0.003439,0.000262,0.003435,-0.000030,0.006103,0.000680,0.007693  
10,0.000354,0.003910,-0.000246,0.005185,0.000277,0.004000,0.000442,0.007968  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291596,0.003939,0.291103,0.003596,0.261266,0.003985,0.007050,0.000388  
2,0.084949,0.003968,0.084324,0.009722,0.065832,0.004539,-0.001391,0.012397  
3,0.024456,0.004003,0.024354,0.004488,0.016383,0.006779,-0.001856,0.009827  
4,0.006441,0.003974,0.006649,0.005757,0.004637,0.004341,0.000295,0.008274  
5,0.001546,0.003870,0.001438,0.003631,0.001214,0.004821,-0.000362,0.008176  
6,-0.000242,0.003863,0.000628,0.005612,0.000488,0.005416,0.000095,0.007938  
7,0.000292,0.004366,0.000562,0.003397,-0.000106,0.004329,-0.000167,0.006921  
8,0.000070,0.004194,0.000228,0.006291,-0.000471,0.003799,0.000802,0.007150  
9,0.000181,0.003837,0.000008,0.003519,0.000444,0.005292,-0.000631,0.007263  
10,-0.000078,0.004355,-0.000115,0.006322,0.000174,0.003611,0.000190,0.007325  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291371,0.003268,0.291600,0.003846,0.247767,0.003655,-0.004920,0.000310  
2,0.085036,0.003744,0.086982,0.009385,0.054550,0.004638,0.000704,0.013176  
3,0.025034,0.003771,0.025612,0.004357,0.011646,0.007214,-0.001685,0.008255  
4,0.007185,0.003824,0.007669,0.006474,0.003679,0.004145,-0.000767,0.007697  
5,0.001921,0.004110,0.002291,0.003528,0.001198,0.003926,0.000599,0.007097  
6,0.000150,0.003945,0.001500,0.005596,0.000792,0.006158,-0.000656,0.006709  
7,-0.000192,0.004377,0.000478,0.003010,0.000230,0.003662,-0.000477,0.007610  
8,-0.000342,0.003631,-0.000066,0.005768,0.000035,0.004172,-0.000574,0.007439  
9,-0.000419,0.004034,-0.000269,0.003494,-0.000428,0.005163,0.000210,0.007906  
10,-0.000246,0.003793,-0.000014,0.005686,0.000037,0.004052,0.000184,0.008514  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.292441,0.003484,0.292019,0.003842,0.264154,0.003442,-0.044879,0.000389  
2,0.085150,0.003460,0.084984,0.011021,0.067285,0.004737,0.004196,0.014276  
3,0.024749,0.003942,0.024061,0.005170,0.016752,0.006893,-0.001420,0.009671  
4,0.006836,0.003559,0.006400,0.006417,0.004427,0.004055,0.000147,0.008347  
5,0.001168,0.003935,0.001670,0.003959,0.001240,0.004036,0.000058,0.008791  
6,0.000148,0.004298,0.000951,0.005218,-0.000115,0.006221,-0.000036,0.008394  
7,0.000166,0.003685,-0.000022,0.003362,-0.000285,0.004126,-0.000067,0.007471  
8,-0.000417,0.004189,-0.000079,0.005026,-0.000496,0.004292,-0.000542,0.007170  
9,-0.000583,0.004294,0.000368,0.003597,0.000233,0.005510,-0.000025,0.007697  
10,-0.000104,0.003993,0.000708,0.005843,0.000522,0.004138,0.000416,0.008508  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291624,0.003225,0.291615,0.003873,0.238706,0.004285,-0.000928,0.000360  
2,0.084990,0.003581,0.086368,0.010351,0.048687,0.004238,0.004231,0.013374  
3,0.024626,0.003777,0.024886,0.004784,0.007452,0.007430,0.000786,0.008951  
4,0.007338,0.003666,0.006924,0.006524,0.002050,0.004147,-0.000249,0.007707  
5,0.002184,0.003983,0.002367,0.003555,0.000097,0.004280,0.000055,0.008638  
6,0.000562,0.003828,0.000585,0.006580,-0.000203,0.006009,0.000610,0.008187  
7,-0.000282,0.003644,0.000140,0.003327,-0.000575,0.003605,-0.000010,0.008491  
8,-0.000278,0.003805,-0.000249,0.005428,-0.000805,0.004039,0.000013,0.007459  
9,-0.000429,0.003861,-0.000659,0.003311,-0.000091,0.006568,-0.000734,0.006877  
10,-0.000512,0.003782,0.000022,0.005176,-0.000429,0.003875,0.002263,0.008227  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291165,0.003341,0.290083,0.003975,0.262436,0.003979,0.018998,0.000468  
2,0.084736,0.003789,0.080678,0.011644,0.066582,0.004959,0.000787,0.012256  
3,0.024849,0.004147,0.022630,0.004954,0.016319,0.006548,-0.001308,0.008765  
4,0.007236,0.004321,0.005120,0.006177,0.003650,0.004168,0.000842,0.007417  
5,0.001818,0.004692,0.001322,0.002940,0.001019,0.003931,-0.000092,0.007494  
6,0.000592,0.004296,0.000636,0.006031,0.000257,0.006343,-0.000120,0.006748  
7,-0.000066,0.004097,0.000271,0.003752,0.000576,0.004008,0.000175,0.006825  
8,-0.000382,0.004493,-0.000440,0.006087,0.000319,0.004105,0.000106,0.006681  
9,-0.000811,0.004261,-0.000332,0.003622,0.000048,0.005643,-0.000014,0.007151  
10,-0.000586,0.003615,-0.000351,0.005252,0.000096,0.003904,0.000891,0.006796  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291008,0.003068,0.291169,0.003693,0.249199,0.003761,0.035048,0.000425  
2,0.084685,0.004022,0.084745,0.009507,0.056202,0.004928,-0.001008,0.011110  
3,0.024172,0.003451,0.024354,0.003797,0.011469,0.006309,0.001123,0.009296  
4,0.006732,0.003944,0.006854,0.007427,0.002130,0.004593,0.000869,0.007364  
5,0.001760,0.004323,0.002048,0.003757,0.000174,0.004590,-0.001444,0.006748  
6,0.000591,0.004298,0.000634,0.005588,0.000877,0.006345,-0.000302,0.007377  
7,0.000870,0.003796,0.000109,0.003368,0.000215,0.003566,0.000143,0.006852  
8,0.000590,0.003938,0.000106,0.005238,0.000162,0.003781,-0.000575,0.007530  
9,-0.000416,0.004188,-0.000053,0.003397,0.000339,0.005547,0.000120,0.006871  
10,0.000005,0.003873,0.000136,0.005609,0.000206,0.003645,0.000232,0.005730  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291169,0.003390,0.291368,0.003457,0.254248,0.003811,-0.012905,0.000384  
2,0.084963,0.004366,0.084633,0.009328,0.059800,0.004898,-0.000378,0.013920  
3,0.025010,0.004020,0.024743,0.004817,0.014495,0.007022,0.000967,0.009348  
4,0.007132,0.003810,0.008018,0.006256,0.004072,0.004545,-0.000292,0.008417  
5,0.002866,0.003964,0.002509,0.003419,0.000976,0.003818,0.000164,0.007754  
