beta=0.60
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.934198,0.031289,0.953979,0.005287,0.927118,0.031426,0.953974,0.004961,0.953908,0.005437
2,0.909685,0.060020,0.947952,0.008772,0.895872,0.060842,0.948049,0.007887,0.947893,0.009304
3,0.890429,0.087901,0.946828,0.011709,0.869704,0.089947,0.946959,0.010389,0.946739,0.012564
4,0.872015,0.115503,0.946424,0.014297,0.844115,0.119184,0.946586,0.012534,0.946294,0.015543
5,0.853813,0.142975,0.946136,0.016641,0.818571,0.148489,0.946380,0.014456,0.945974,0.018286
6,0.835657,0.170331,0.945929,0.018815,0.793014,0.177813,0.946206,0.016164,0.945713,0.020869
7,0.817603,0.197550,0.945726,0.020851,0.767460,0.207122,0.946033,0.017783,0.945469,0.023264
8,0.799706,0.224519,0.945541,0.022633,0.741963,0.236405,0.945883,0.019310,0.945258,0.025474
9,0.782071,0.251078,0.945398,0.024221,0.716585,0.265606,0.945726,0.020701,0.945055,0.027466
10,0.764710,0.277204,0.945269,0.025621,0.691263,0.294763,0.945618,0.022019,0.944838,0.029375
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.951738,0.015383,0.954203,0.005808,0.953277,0.008707,0.953924,0.007921,0.952326,0.013203
2,0.943903,0.027706,0.948233,0.009819,0.946766,0.015681,0.947751,0.013663,0.944941,0.024113
3,0.941133,0.038403,0.947066,0.013235,0.945159,0.022027,0.946405,0.018668,0.942497,0.034072
4,0.939208,0.048220,0.946633,0.016315,0.944266,0.027994,0.945806,0.023184,0.940811,0.043411
5,0.937512,0.057165,0.946313,0.019109,0.943512,0.033648,0.945317,0.027427,0.939311,0.052348
6,0.935958,0.065289,0.946061,0.021640,0.942815,0.039073,0.944914,0.031287,0.937885,0.060928
7,0.934541,0.072640,0.945837,0.023867,0.942160,0.044295,0.944575,0.034738,0.936515,0.069234
8,0.933217,0.079354,0.945620,0.026064,0.941524,0.049294,0.944203,0.038095,0.935203,0.077207
9,0.932002,0.085451,0.945417,0.027998,0.940901,0.054042,0.943895,0.041162,0.933939,0.084905
10,0.930879,0.091064,0.945222,0.029867,0.940325,0.058565,0.943612,0.044011,0.932719,0.092256
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.950217,0.017612,0.953866,0.006057,0.953333,0.008160,0.953677,0.007157,0.951604,0.012215
2,0.941012,0.031822,0.947900,0.010086,0.946829,0.014535,0.947493,0.012307,0.943848,0.021240
3,0.936991,0.044236,0.946709,0.013595,0.945248,0.020278,0.946200,0.016846,0.941291,0.028687
4,0.933897,0.055724,0.946262,0.016807,0.944447,0.025507,0.945657,0.020878,0.939647,0.035188
5,0.931036,0.066610,0.945935,0.019847,0.943787,0.030441,0.945254,0.024737,0.938258,0.041105
6,0.928326,0.077014,0.945644,0.022761,0.943203,0.034986,0.944868,0.028340,0.937012,0.046536
7,0.925653,0.087086,0.945372,0.025435,0.942648,0.039284,0.944509,0.031825,0.935844,0.051622
8,0.923069,0.096902,0.945114,0.028027,0.942109,0.043358,0.944191,0.034993,0.934771,0.056343
9,0.920552,0.106394,0.944861,0.030475,0.941586,0.047337,0.943904,0.038004,0.933743,0.060848
10,0.918114,0.115624,0.944639,0.032874,0.941088,0.051209,0.943624,0.040725,0.932796,0.065054
