beta=0.60
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.991277,0.026988,0.996686,0.001732,0.995907,0.009004,0.996650,0.001720
2,0.988315,0.042877,0.996563,0.002678,0.995113,0.016695,0.996523,0.002738
3,0.986037,0.055126,0.996494,0.003370,0.994402,0.023799,0.996441,0.003557
4,0.984204,0.064915,0.996439,0.003911,0.993752,0.030316,0.996382,0.004155
5,0.982760,0.072663,0.996400,0.004304,0.993183,0.036002,0.996344,0.004528
6,0.981665,0.078724,0.996375,0.004556,0.992776,0.040070,0.996325,0.004733
7,0.980977,0.082545,0.996357,0.004729,0.992514,0.042698,0.996313,0.004832
8,0.980705,0.083958,0.996350,0.004806,0.992440,0.043425,0.996311,0.004860
9,0.980977,0.082545,0.996357,0.004729,0.992514,0.042698,0.996313,0.004832
10,0.981665,0.078724,0.996375,0.004556,0.992776,0.040070,0.996325,0.004733
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.992589,0.028427,0.996353,0.004894,0.996611,0.002239,0.996572,0.002744
2,0.990251,0.046038,0.995926,0.008896,0.996441,0.003691,0.996357,0.004649
3,0.988338,0.060478,0.995578,0.012369,0.996336,0.004727,0.996192,0.006301
4,0.986653,0.073174,0.995276,0.015387,0.996272,0.005373,0.996057,0.007651
5,0.985216,0.084032,0.995042,0.017741,0.996231,0.005788,0.995946,0.008760
6,0.984109,0.092474,0.994907,0.019091,0.996206,0.006039,0.995859,0.009630
7,0.983365,0.098276,0.994831,0.019849,0.996188,0.006213,0.995798,0.010230
8,0.983090,0.100465,0.994807,0.020084,0.996182,0.006271,0.995780,0.010411
9,0.983365,0.098276,0.994831,0.019849,0.996188,0.006213,0.995798,0.010230
10,0.984109,0.092474,0.994907,0.019091,0.996206,0.006039,0.995859,0.009630
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.990588,0.036159,0.996042,0.007668,0.747665,0.000332,0.996491,0.003368
2,0.986091,0.063237,0.995369,0.014165,0.498557,0.001366,0.996225,0.005758
3,0.982040,0.087634,0.994761,0.020243,0.249505,0.002974,0.996020,0.007803
4,0.978446,0.109328,0.994207,0.025780,0.000510,0.005081,0.995843,0.009584
5,0.975594,0.126788,0.993757,0.030279,-0.248440,0.007733,0.995691,0.011091
6,0.973808,0.137665,0.993446,0.033382,-0.497210,0.011101,0.995578,0.012234
